Бега гарпатчэчан, дюганинги долбони чэрумэ бичэн, хадылдун эдыкэн нэлдылингкин, тадук эюмкун качулин балдыгавчали мосали ултанингкин.	Луна сияла; июльская ночь была тиха; изредка подымался ветерок, и легкий шорох пробегал по всему саду.	1,00
Гудеипчу илмакта, ханяннгачин, тэрувчала ичэлдыкиттулэ дагамаран.	Как легкая тень, молодая красавица приблизилась к месту назначенного свидания.	1,00
Кэнэ, нги-дэ эчэн ичэврэ, умнэт тэгэчимкин чагидадукин Дубровский ичэвуллэн.	Еще никого не было видно, вдруг из-за беседки очутился Дубровский перед нею.	1,00
Би упкатван сами, — нунган хунаттыки аракукан, хивиндярит дылгандиви гунэн.	Я все знаю, — сказал он ей тихим и печальным голосом.	1,00
Эсидукис аяврэ илэдук сучадас, би бэлэмчэв.	— Я бы мог избавить вас от ненавистного человека.	1,00
Эксэри дярин, экэл иличэрэ нунганман, минэ аявми, экэл эра-да нунганман, миндули экун-мал неливсипчу одан, би эчэв гэлэдерэ.	Ради бога, не трогайте его, не смейте его тронуть, если вы меня любите — я не хочу быть виною какого-нибудь ужаса.	1,00
Би этэм эра-да нунганман, синнгивэ дялвас би долдычадям.	Я не трону его, воля ваша для меня священна.	1,00
Они-ка бэлэденгэв синду эрупчудук аминдукви сучадас.	Но как же спасу вас от жестокого отца.	1,00
Би дялдадем, сот сонголлокив, нунган минэ сингнинденгэн.	Я надеюсь тронуть его моими слезами и отчаянием.	1,00
Нунган со хусикин, эми-вал нунган минэ сот аяврэн.	Он упрям, но он так меня любит.	1,00
Экэл хитэклэ дялдачэрэ.	Не надейтесь по-пустому.	1,00
Нунган синнгивэ дялвас хуски, мэннгиви дялви долдычавкачилдянган; синэ бадеривас сурувденгэтын, синнгивэ бинивэс буденгэтын, этыркэнди эдытэдэс.	возьмет он себе в голову сделать счастие ваше вопреки вас самих; если насильно повезут вас под венец, чтоб навеки предать судьбу вашу во власть старого мужа.	1,00
Тэли, тэли си гэннэдэви минэ, — би синнги асис одянгав.	Тогда, тогда делать нечего, явитесь за мною — я буду вашей женою.	1,00
Дубровский силгиллэн, хэпкэмэ дэрэн хутаргаран, тэлиннгэ нян холоктодук хэпкэмэтмэр оран.	Дубровский затрепетал; бледное лицо покрылось багровым румянцем, и в ту же минуту стало бледнее прежнего.	1,00
Нунган дылви унгкикэчэ бинэ, горово симуладячан.	Он долго молчал, потупя голову.	1,00
Тадук нунган аракукан энгэнелин кунглэрэн, аракукан нунганман мевантыкиви камниран.	Затем он тихо обнял стройный ее стан и тихо привлек ее к своему сердцу.	1,00
Хунат тэдедеригэчин илмакта чангит мирэткин дылви унгкикэрэн.	Доверчиво склонила она голову на плечо молодого разбойника.	1,00
Дюктэ симуладячатын.	Оба молчали.	1,00
Гороконма туги биксэл, „Кэ элэкин“ — Маша гунэн.	Время летело, Пора, — сказала наконец Маша.	1,00
Дубровский амидукви мелчагэчин оран.	Дубровский как будто очнулся от усыпления.	1,00
Нунган нгалэдукин дяваран, умукэчэндун унякаптунма тэтыврэн.	Он взял ее руку и надел ей на палец кольцо.	1,00
— Миннги бэлэгэв синду гэлэвуллэкин, — нунган гунэн, — эмэвдэви унякаптунма элэ, нунганман эр мо конгкилин сичисиндэви,—тэли би саденгав эя одави.	Если решитесь прибегнуть ко мне, — сказал он, — то принесите кольцо сюда, опустите его в дупло этого дуба — я буду знать, что делать.	1,00
Дубровский нунганнгиван нгалэван нюканан, халлэн мол сигдэлэлдулитын.	Дубровский поцеловал ее руку и скрылся между деревьями.	1,00
Князь Верейский мангарактадяриван упкат матакил сачатын.	Сватовство князя Верейского не было уже тайною для соседства.	1,00
Кирила Петровичва мэндудечэтын, хунат мирэлмэчиндулэн итыгадячатын.	Кирила Петрович принимал поздравления, свадьба готовилась.	1,00
Эми-вал, сагдынун эдынгэтнунми нунган энгкин элэтки улгучэмэттэ.	Между тем обращение ее со старым женихом было холодно и принужденно.	1,00
Князь тарит энгкин хивина.	Князь о том не заботился.	1,00
Нунган аявмэчинман энгкин хивина, нунгандун элэкин бичэн, хунат симуладяна мирэндерэкин.	Он о любви не хлопотал, довольный ее безмолвным согласием.	1,00
Эми-вал тырганил илтэндечэтын.	Но время шло.	1,00
Маша дялдарэн балдави мирэндеми, — Верейскийдулэ дукувунма унгнэн.	Маша наконец решилась действовать— и написала письмо князю Верейскому.	1,00
Нунган, эмукин бинэ, дукувунма тангнан, асуматыт эчэ сингнинэ асингатын алтатчариван.	Она тихонько вручила письмо князю Верейскому, тот прочел его наедине и нимало не был тронут откровенностию своей невесты.	1,00
Нунган дялдарэн, хэлинчэдэви, амакан асилалдави, тарит дялдарэн дукувунма асингатын аминтыкин ичэвкэндэви.	Напротив, он увидел необходимость ускорить свадьбу и для того почел нужным показать письмо будущему тестю.	1,00
Кирила Петрович сот черкачиллан: князь нунганман аран-аран алтаттан Машатки эдэн гунэ дукувунма ичэвкэннэвэн.	Кирила Петрович взбесился; насилу князь мог уговорить его не показывать Маше и виду, что он уведомлен о ее письме.	1,00
Кирила Петрович гунэн эдэви тара тыливкэнэ, эми-вал дялдарэн геду тырганиду мирэлмэчинмэн.	Кирила Петрович согласился ей о том не говорить, но решился не тратить времени и назначил быть свадьбе на другой же день.	1,00
Тулигидэдук князь халлэкиннун, Кирила Петрович Машала эмэрэн, гунэн тэгэмилэ итыгача бидэн.	Но едва успел он выехать со двора, как отец Маши напрямик велел ей быть готовой на завтрашний день.	1,00
Мария Кириловна, тыкулча Верейский улгучэндин, аминми халгардулан унгкеродяна сот сонголлон.	Марья Кириловна, уже взволнованная объяснением князя Верейского, залилась слезами и бросилась к ногам отца.	1,00
Амикан, — екэчиллэн нунган сингнипчут дылгандиви, — амикан, сингнинкэл минэ, би эчэв князьва аявдерэ, би эчэв нунганнгин асин бимудерэ.	Папенька, — закричала она жалобным голосом,— папенька, не губите меня, я не люблю князя, я не хочу быть его женою.	1,00
Экун тар бисин, — тыкулча бинэ гунэн Кирила Петрович,— си эрдэлэ симуладячас, эчэс бадерэ.	Это что значит, — сказал грозно Кирила Петрович,— до сих пор ты молчала и была согласна.	1,00
Эситкэн упкачин этэвчэлэн, си дялданни муссэлдэви.	а теперь, когда всё решено, ты вздумала капризничать и отрекаться.	1,00
Экэл монгнокотта; тарит си минэ этэнни тэптырэ.	Не изволь дурачиться; этим со мною ты ничего не выиграешь.	1,00
Сингнинкэл минэ, — дюптыдячан сингнипчу Маша,— эли си минэ мэндукви эрэсчэнни, минэ бутчэнни эсидув аяврэ бэеду, би синду эчэв-гу гэлэвдерэ, би синнун эмэнмумудем.	Не губите меня,— повторяла бедная Маша, — за что гоните меня от себя прочь и отдаете человеку нелюбимому? разве я вам надоела? я хочу остаться с вами по- прежнему.	1,00
Амикан, би ачиндув, синду буливсипчу одянган, нян буливсипчутмэр одянган, дёнакис минэ кутуя ачинма.	Папенька, вам без меня будет грустно, еще грустнее, когда подумаете, что я несчастлива.	1,00
Амикан, экэл энгэситви мирэнмукэттэ, би эчэв мирэмудерэ.	Папенька: не принуждайте меня, я не хочу идти замуж.	1,00
Кирила Петровичту сот сингнипчу бичэн, эми-вал эчэн ичэвкэнэ сингниндериви, аначан хунатви мэндукви, тадук тыкупчут гунчэн: Эр упкачин хитэн, долдынни-гу.	Кирила Петрович был тронут, но скрыл свое смущение и, оттолкнув ее, сказал сурово: Всё это вздор, слышишь ли.	1,00
Би синдук аятмарит сам экун синду гэлэвдеривэн, кутучи бидэс.	Я знаю лучше твоего, что нужно для твоего счастия.	1,00
Инамукталли синду этэрэ бэлэрэ, — тэгэмичагуду синнги мирэлмэчинни одянган.	Слезы тебе не помогут, послезавтра будет твоя свадьба.	1,00
Тэгэмичагуду, — екэсинэн Маша, — Эксэрией.	Послезавтра, — вскрикнула Маша, — боже мой.	1,00
Эчэ, эчэ, энгимэмэ, туги эденгэ биси.	Нет, нет, невозможно, этому не быть.	1,00
Амикан, долчаткэл, си маннит дялдача бисикис, минэ бадеривэ будэви, би-дэ элбэчимниеви бакадянгав.	Папенька, послушайте, если уже вы решились погубить меня, то я найду защитника.	1,00
Си тара эчэс дялдатчэматтэ, си ичэденгэс, си тэли сот нгэлэлденгэс, тарбанди си минэ тыкуннгинни.	о [нем] {котором} вы и не думаете, вы увидите, вы ужаснетесь, до чего вы меня довели.	1,00
Экунма? Экунма?	Что? Что?	1,00
—гунэн Троекуров, — нгэлэвкэтчэнни.	—сказал Троекуров,— угрозы.	1,00
— Минэ нгэлэвкэтчэнни, муссэн асаткачан.	мне, угрозы, — дерзкая девчонка.	1,00
Си санни, би эя одянгав.	— Да знаешь ли ты, что я с тобою сделаю.	1,00
Си тара эчэс дялдатчэматтэ.	То, чего ты и не воображаешь.	1,00
Си минэ нгэлэвкэтчэнни элбэчимнитви.	Ты смеешь меня стращать защитником.	1,00
Ичэтчэт, нги одянган элбэчимнис.	Посмотрим, кто будет этот защитник.	1,00
Владимир Дубровский,— Маша тыкулча бинэ гунэн.	Владимир Дубровский, — отвечала Маша в отчаянии.	1,00
Кирила Петрович дялдуви гунэн нунган монгнолчо бинэн, нунгантыкин ёнча бинэ, ичэтчэчэн.	Кирила Петрович подумал, что она сошла с ума и глядел на нее с изумлением.	1,00
Ая, — нунган гунэн горово симулачалави, нгие-дэ алатчэкэл мэндуви элбэчимниеви.	Добро, — сказал он ей после некоторого молчания, — жди себе кого хочешь в избавители.	1,00
Кэнэ тэгэтчэкэл эр гулэкэнду, си эдук этэнни юрэ мирэлдэлэви.	покамест сиди в этой комнате, ты из нее не выйдешь до самой свадьбы.	1,00
Туги гуниксэ, Кирила Петрович юрэн, амардуви уркэвэ тынгнаран.	С этим словом Кирила Петрович вышел и запер за собою дверь.	1,00
Маша дялдуви мэдэтчэчэн, долболтоно Дубровскийва бакамачинми балдыгачивчаду мосаду тэгэчимкин дагадун.	Предчувствие сказывало ей, что вечером найдет она Дубровского в саду близ беседки.	1,00
Нунган дялдарэн, лунгтырэллэкин, нунганман алатнасиндави.	она решилась пойти ожидать его там, как только станет смеркаться.	1,00
Лунгтырэлдечэн, Маша итыгача бичэн, уркэн тынгнавунди тынгнавча.	Смерклось. Маша приготовилась — но дверь ее заперта на ключ.	1,00
Нунган тэгэвкэкиткэчинду бичэн.	Она была под арестом.	1,00
Уркэ чагидин кэлумэ нунгантыкин гундечэн, Кирила Петрович гуннэвэн, эдэтын тынэ.	Горничная отвечала ей из-за двери, что Кирила Петрович не приказал ее выпускать.	1,00
Сот тыкулча бинэ, нунган окошко дагадун тэгэчэн, долбони дулмаюлан тэгэтчэчэн.	Глубоко оскорбленная, она села под окошко и до глубокой ночи сидела.	1,00
Энэ тэтыгэлви лукта, энэ самнара хактырапчува нянгнява ичэтчэчэн.	не раздеваясь, неподвижно глядя на темное небо.	1,00
Тыргалчалан нунган эркичилчэн, урумкукэн амин хивипчулди толкирди сэривувчэн, элэкэс юдери дылача гарпалин нунганман сэривчэтын.	На рассвете она задремала, но тонкий сон ее был встревожен печальными видениями, и лучи восходящего солнца уже разбудили ее.	1,00
Нунган меллан, элэкэсиптыт дялдуви дёнан мэннгиви биниви.	Она проснулась, и с первой мыслью представился ей весь ужас ее положения.	1,00
Нунган кинггилбуран, хунат ирэн.	Она позвонила, девка вошла.	1,00
Ханнгуктавдяна улгучэндечэн Кирила Петрович гуннэвэн, эдэтын хунатван тулэкэндукин тынэ, ичэтчэдэтын, нги-дэ эдэн нунганнунин улгучэмэттэ.	и на вопросы ее отвечала, что Кирила Петрович вечером ездил в Арбатово и возвратился поздно; что он дал строгое приказание не выпускать ее из ее комнаты и смотреть за тем, чтоб никто с нею не говорил.	1,00
Тадук тылчэн эчэлвэ итыгадяра мирэлмэчиндулэн.	что впрочем не видно никаких особенных приготовлений к свадьбе.	1,00
Упкатва улгучэниксэ, хунат Мария Кириловнава эмэнчэн, нян уркэвэ тынгначан.	После сих известий девка оставила Марью Кириловну и снова заперла двери.	1,00
Эрил турэр сот тыкуннгира илмактава хунатвэ: дылдун хуюдечэн, сэксэн угэдеригэчин бичэн.	Ее слова ожесточили молодую затворницу; голова ее кипела — кровь волновалась.	1,00
Нунган дялдачан упкатва Дубровскийтыки савкандави, бэлэгэе гэлэктэлчэн, унякаптунма тэрувчала конгкичила мола унгдэви.	она решилась дать знать обо всем Дубровскому и стала искать способа отправить кольцо в дупло заветного дуба.	1,00
Тэли дёлокон окошколин нарэн, стекло кинггиналлан — Мария Кириловна сигинан, тулигидэду ичэрэн хуюкукэнмэ Сашава, делумкэн нунгантыкин насанадярива.	В это время камушек ударился в окно ее, стекло зазвенело — и Марья Кириловна взглянула на двор и увидела маленького Сашу, делающего ей тайные знаки.	1,00
Нунган садечан Саша аявдериван.	Она знала его привязанность.	1,00
Ичэми нунганман, урунчэн.	и обрадовалась ему.	1,00
Нунган окошкова ничэн.	Она отворила окно.	1,00
Дорово Саша, — гучэн нунган, — эда си минэ эриденни.	Здравствуй, Саша, — сказала она, — зачем ты меня зовешь.	1,00
Би эмэчэв, эки, синдук тылдэви, эчэс-ку эя-вал гэлэдерэ.	Я пришел, сестрица, узнать от вас, не надобно ли вам чего-нибудь.	1,00
Амикан тыкундяран, упкаттыки гучэн, синэ эдэтын долдычара.	Папенька сердит и запретил всему дому вас слушаться.	1,00
Си гукэл минтыки эя-вал омуми, би элэние одянгав си дярис.	но велите мне сделать, что вам угодно и я для вас всё сделаю.	1,00
Аяврив миннги Сашаканми, долчаткэл; си санни холоктово конгкичива мова тэгэчимкин дагадун.	Спасибо, милый мой Сашенька, слушай: ты знаешь старый дуб с дуплом, что у беседки.	1,00
Сами экикэн.	Знаю, сестрица.	1,00
Си минэ аявми, химат туксактакал тала, нэкэл конгкиду эр унякаптунма, элэ аят тэрэчэнэ, нги-дэ синэ эгин ичэрэ.	Так если ты меня любишь, сбегай туда поскорей и положи в дупло вот это кольцо, да смотри же, чтоб никто тебя не видал.	1,00
Эр турэрвэ гуниксэ, нунган унякаптунма нунгандулан нодарэн, окошкова сомнан.	С этим словом она бросила ему кольцо и заперла окошко.	1,00
Хуркэн унякаптунма гаран, химамэмэт туксасинан — иландули минуталдули тэрувчавэ мова истан.	Мальчик поднял кольцо, во весь дух пустился бежать — и в три минуты очутился у заветного дерева.	1,00
Таду нунган иллан хануссалча бинэ, мэнми мурэли ичэсингнэрэн, унякаптунма конгкиду нэрэн.	Тут он остановился, задыхаясь, оглянулся во все стороны и положил колечко в дупло.	1,00
Аяканди этэксэ хавави, нунган тэлиннгэ дялдачан Мария Кириловнатки углучэндэви.	Окончив дело благополучно, хотел он тот же час донести о том Марье Кириловне.	1,00
Умнэт хутама, учики ландума хуркэчэн тэгэчимкин чагидадукин дерисоран, мола туксанчаран, нгалэви конгили сичисинэн.	Как вдруг рыжий и косой оборванный мальчишка мелькнул из-за беседки, кинулся к дубу и запустил руку в дупло.	1,00
Саша улукидук химатмэрит, нунгандулан туксанчаран, дюктэт нгалэлдиви нунгандукин лэнггэрэрэн.	Саша быстрее белки бросился к нему и зацепился за его обеими руками.	1,00
Си эва одянни эду.	Что ты здесь делаешь.	1,00
— нунган тыкупчут гунэн.	— сказал он грозно.	1,00
Синду-кэ экун.	Тебе какое дело.	1,00
гунэн хуркэчэн сучассадяна.	— отвечал мальчишка, стараясь от него освободиться.	1,00
Эмэвкэл эрэ унякаптунма, хутама муннукан, — Саша еэтчэчэн, — эсикис бурэ би синэ кэсэгиделим.	Оставь это кольцо, рыжий заяц, — кричал Саша,— или я проучу тебя по-свойски.	1,00
Энэ он-да гунэ, тарингин нунганман дэрэлин колторон, эми-вал Саша нунганман эчэ сучавра, — элэкэндиви дылгандиви екэчиллэн: Дёромисал, дёромисал — элэ, элэ.	Вместо ответа тот ударил его кулаком по лицу, но Саша его не выпустил — и закричал во всё горло: Воры, воры! сюда, сюда.	1,00
Хуркэчэн сучассадячан нунгандукин.	Мальчишка силился от него отделаться.	1,00
Нунган Сашадук сагдамар ичэтми бичэн, нунгандукин сотмар, энгэситмэр биркэ, Саша нян богиматмар, химатмэр бичэн.	Он был повидимому двумя годами старее Саши и гораздо его сильнее, но Саша был увертливее.	1,00
Нунгартын окива-вал минуталва нгорчадячатын, тадук хутама хуркэн давдычан.	Они боролись несколько минут, наконец рыжий мальчик одолел.	1,00
Нунган Сашава дуннэлэ буричэн, нунганман билгадукин чавупчачан.	Он повалил Сашу на земь и схватил его за горло.	1,00
Эми-вал, тэли энгэси нгалэ хутама хуркэн нюриктэлдукин лэнггэрэрэн.	Но в это время сильная рука вцепилась в его рыжие и щетинистые волосы.	1,00
Молва балдыгачимни Степан нунганман дуннэдук аршин калтакамачинман угиррэн.	и садовник Степан приподнял его на пол-аршина от земли.	1,00
Си эда дугденни хуюкукэнмэ баянчиканмэ?  — гундечэн молва балдыгачимни.	Ах, ты рыжая бестия, — говорил садовник, — да как ты смеешь бить маленького барина.	1,00
Саша тэлиннгэ сучаран.	Саша успел вскочить и оправиться.	1,00
Молва балдыгачимни хутамава хуркэнмэ баяннгила тулигидэлэн элгэсинэн.	Садовник повел пленника на барский двор.	1,00
Саша амарду эмэдэчэн, касимчалвэ, нянгнявчалвэ тэтыгэлви хивиндяна ичэсингнэденэ.	а Саша его сопровождал, с беспокойством поглядывая на свои шаровары, разорванные и замаранные зеленью.	1,00
Умнэтупкат илани Кирила Петровичва, мурир бикичилвэтын ичэнэдеривэ, арчара.	Вдруг все трое очутились перед Кирилой Петровичем, идущим осматривать свою конюшню.	
Эр экун.	Это что.	
— нунган Степанмэ ханнгуктаран.	—спросил он Степана.	
Степан урумкукэрди турэрди улгучэнэн они бинэвэн.	Степан в коротких словах описал все происшествие.	1,00
Кирила Петрович аямамат долчаттан.	Кирила Петрович выслушал его со вниманием.	1,00
Си эли нунганнунин кусилчэс? — Кирила Петрович Сашава ханнгуктаран.	Ты, повеса,— сказал он, обратясь к Саше, — за что ты с ним связался.	1,00
Нунган конгкидук унякаптунма дёромочон.	Он украл из дупла кольцо, .	1,00
Амикан, ипкэкэл унякаптунма будэн.	папенька, прикажите отдать кольцо.	1,00
Авадыва унякаптунма, авадыдук конгкидук.	Какое кольцо, из какого дупла.	1,00
Эки Мария Кириловна гучэн минтыки, конгкиду нэнэдэв унякаптунма, би туксактачав, нэчэв конгкиду унякаптунма — эр кирипчу хуркэн.	Сестрица Марья Кириловна велела мне сбегать к дубу и положить кольцо в дупло; я и сбегал и положил кольцо — а этот скверный мальчик.	1,00
Кирила Петрович ичэсинэн кирипчутки хуркэнтыки, неливсипчут нунгандукин ханнгуктаран: Си экума бисинни?	Кирила Петрович обратился к скверному мальчику — и спросил его грозно: Чей ты?	1,00
Би баясалнги Дубровскиилнги илэнгитын бисим, — гунэн хутама хуркэн.	Господ Дубровских. Я дворовый человек Владимира Андреевича Дубровского, — отвечал рыжий мальчик.	1,00
Кирила Петровичнги дэрэн хунгтуптэн.	Лицо Кирилы Петровича омрачилось.	1,00
Амикан, ипкэкэл нунганман, унякаптунма будэн, — гунэн Саша.	Папенька, прикажите ему отдать кольцо, — сказал Саша.	1,00
Симулакал, Александр, — гунэн Кирила Петрович.	Молчи, Александр, — отвечал Кирила Петрович.	1,00
Си, учики, унякаптунма букэл, дюлави нгэнэдекэл.	Ты — косой — отдай кольцо и ступай домой.	1,00
Хуркэн колтови гурэттэн, ичэвкэнэн нгалэдун экун-да ачин бисивэн.	Мальчик разжал кулак и показал, что в его руке не было ничего.	1,00
Ая, — Кирила Петрович гунэн, — тынгнавка нунганман иду-вэл, тыгичивкэ, эдэн туксанэ.	Добро, — сказал Кирила Петрович, — запереть его куда-нибудь да смотреть, чтоб он не убежал .	1,00
Туксанэкин, тэли упкаттук дюмагулдукин кикикталватын илэтчэнгэв (нюлатчэнгав).	или со всего дома шкуру спущу.	1,00
Степан хуркэчэнмэ гулэ оёлон элгэрэн, тала нунганман тынгнаран.	Степан отвел мальчишку на голубятню, запер его там.	1,00
Эду экун-мал сумэчивденэн.	Тут нет никакого сомнения.	1,00
Нунган харгинун Дубровскийнун бакалдычакми тала сулача.	Она сохранила сношения с проклятым Дубровским.	1,00
Тэде-гу нунган эмэвкэчиркэ нунганман элбэчимниеви? —.	Но ужели и в самом деле она звала его на помощь? —.	1,00
Кирила Петрович дялдатчэчан комнатали гиркуктадяна, тыкупчут кикэриденэ:.	думал Кирила Петрович, расхаживая по комнате и сердито насвистывая:.	1,00
Би бакача-ты бинэм имэкирвэ удялван, нунган эсилэ эден-ты мундук сучара.	Может быть, я наконец нашел на его горячие следы и он от нас не увернется.	1,00
Эрит бу бэлэгэтэделлэв.	Мы воспользуемся этим случаем.	1,00
Кэ!	Чу!	1,00
Конгактэ, эксэрией, тар хэгдыгу.	колокольчик, слава богу, это исправник.	1,00
Эй, элгэкэллу элэ дявавчавэ хуркэчэнмэ.	— Гей, привести сюда мальчишку пойманного.	1,00
Мурир тулигидэлэ эмэрэ, хэгдыгу комнатала ирэн упкачин намнэравча бинэ.	Между тем тележка въехала на двор, и знакомый уже нам исправник вошел в комнату весь запыленный.	1,00
Кирила Петрович тариннгаду улгучэллэн тымарва хуркэнмэ дявадяквэр, энэ Мария Кириливнава дёнтура.	Кирила Петрович стал тут же рассказывать утреннее происшествие, не упоминая однако ж о Марье Кириловне.	1,00
Хэгдыгу аямамат долчаттан, хуюкукэнмэ хуркэнмэ кэтэрэкэкун ичэсингнэденэ.	Исправник выслушал его со вниманием, поминутно взглядывая на маленького негодяя.	1,00
Хуркэн монгнонди мэнми оканча, эгсэ эя-да сарэ бисивэ.	[Мальчик] {, который,} прикинувшись дурачком, казалось, не обращал никакого внимания на всё, что делалось около него.	1,00
Би эмукир улгучэмэтмудем синнун,—хэгдыгу гунэн.	Позвольте, ваше превосходительство, переговорить с вами наедине, — сказал наконец исправник.	1,00
Кирила Петрович хунгтулэ гулэкэндулэ нунганман суруврэн, амардувар уркэвэ тынгнаран.	Кирила Петрович повел его в другую комнату и запер за собою дверь.	1,00
Час калтакан илтэнчэлэн, нунгартын нян юрэ.	Через полчаса они вышли опять в залу.	1,00
Хуркэн алатчэчан, он-мал гундэтын нунган дярин.	где невольник ожидал решения своей участи.	1,00
Би синиклэ дысутчэм, — хэгдыгу гунэн, — гэлэм, синэ сингниндэтын, хэркэгэлгэкэллу нунганман.	я вступился за тебя и выпросил тебе прощение, — сказал ему исправник, — развязать его.	1,00
Хуркэнмэ хэркэгэлгэрэ.	Мальчика развязали.	1,00
Мэндукэл баянма, — гунэн хэгдыгу.	Благодари же барина, — сказал исправник.	1,00
Хуркэн, баяндула дагамакса, нгалэван нюканан.	Мальчик подошел к Кириле Петровичу и поцеловал у него руку.	1,00
Нгэнэдекэл дюлави,—Кирила Петрович нунгантыкин гунэн.	— Ступай себе домой, — сказал ему Кирила Петрович.	1,00
Хуркэн юрэн — урувсипчут микчанденэ, тадук агландули Кистеневкатки туксасинан энэ эчэсингнэрэ.	Мальчик вышел, весело спрыгнул с крыльца и пустился бегом, не оглядываясь, через поле в Кистеневку.	1,00
Лунгтырэлдечэн.	Начинало смеркаться.	1,00
Митя Кистеневкангива агива исиссадячан.	Митя пробирался овинами и огородами в Кистеневскую рощу.	1,00
Дюрвэ дягдялва исикса, аги дяпкадун этэемнилгэчир илитчарилва, нунган иллан, мурэли ичэсингнэрэн, игдыпчут кикэнди нгонимкуратчэнэ кикэсинэн, тадук долчачиллан; аракундымар нгонимкуратчэри ге кикэн иллэн, нги-вэл агидук юрэн, нунгандулан дагамаран.	Дошедши до двух сосен, стоящих передовыми стражами рощи, он остановился, оглянулся во все стороны, свистнул свистом пронзительным и отрывисто — и стал слушать; легкий и продолжительный свист послышался ему в ответ, кто-то вышел из рощи и приблизился к нему.	1,00
Кирила Петрович дюлэски амаски залдули гиркуктадячан, мэннгиви давлавунми эммутмэрит кикэрикэтчэнэ.	Кирила Петрович ходил взад и вперед по зале, громче обыкновенного насвистывая свою песню.	1,00
Упкачин гулэн хукусинмудеригэчин бичэн, кэлумэл туксактадя- чатын, хунил хаватадечатын, хуктывуктэмнил каретава (хакува ирувунма) тэвдечэтын.	Весь дом был в движении — слуги бегали, девки суетились — в сарае кучера закладывали карету.	1,00
Тулигидэду илэл умипчачатын.	На дворе толпился народ.	1,00
Хунат тэткиттун, ханянма ичэчивун дюлэдун, аси кэлумэлнун, асаткарнун хэпкэрэчэвэ Мария Кириловнава тэтывдечэн.	В уборной барышни, перед зеркалом, дама, окруженная служанками, убирала бледную, неподвижную Марью Кириловну.	1,00
Уркэ ниврэн.	Двери отворились.	1,00
Мирэндери итыгача, — аси Кирила Петровичтыки гунэн, — гукэл толгокиду тэгэдэн.	Невеста готова, — сказала дама Кирйле Петровичу, — прикажите садиться в карету.	1,00
Кэ, эксэринун, — гунэн Кирила Петрович, — тадук, столдук эксэривэ гаран,—дагамакэл миндулэ Маша,— гунэн нунгантыкин сонголиссадярит дылгандиви, — благословидям синэ.	С богом, — отвечал Кирила Петрович, и, — взяв со стола образ, — подойди ко мне, Маша, — сказал он ей тронутым голосом, — благословляю тебя.	1,00
Сингнипчу хунат аминми халгардун бурурэн, сот сонголлон.	Бедная девушка упала ему в ноги и зарыдала.	1,00
Амикан! амикан!	Папенька! Папенька!	1,00
— сонгодёно нунган алтатчэчан, дылганин экисэчэ бичэн.	— говорила она в слезах, и голос ее замирал.	1,00
Кирила Петрович хэлинчэдечэн, амакан этэдэви.	Кирила Петрович спешил ее благословить.	1,00
Хунатвэ угиррэ, угамадянал каретала суруврэ.	Ее подняли и почти понесли в карету.	1,00
Нунганнунин тэгэчэтын эниклэ биси аси, тадук кэлумэлин асаткар умукэнтын.	С нею села посаженая мать — и одна из служанок.	1,00
Нунгартын церковьтыки хавасина.	Они поехали в церковь.	1,00
Тала эдынгэтын нунгарватын алатчэчан.	Там жених уж их ожидал.	1,00
Нунган арчамкачан асингатви, ёнчан хэпкэмэдин, хунгтупчэт ичэдэдин.	Он вышел навстречу невесты, и был поражен ее бледностию и странным видом.	1,00
Нунгартын дюктэ ингинипчулэ, доя ачиндула церковьдула ирэ, амардутын уркэвэ тынгнара.	Они вместе вошли в холодную, пустую церковь — за ними заперли двери.	1,00
Поп гулэкэндук юрэн, тариннгаду ноноллон.	Священник вышел из алтаря и тотчас же начал.	1,00
Мария Кириловна эя-да эчэн ичэтчэрэ, эя-да эчэн долчатчэрэ.	Марья Кириловна ничего не видала, ничего не слыхала.	1,00
Дялдатчэчан элэ умукэнмэ, — тымардук нунган Дубровскийва алатчэчан, асуматыт эчэн омнгодёро эмэденгэвэн.	Думала об одном, с самого утра она ждала Дубровского, надежда ни на минуту ее не покидала.	1,00
Поп этэчэн.	священник, не дождавшись ее ответа, произнес невозвратимые слова.	1,00
Хунат мэдэчэн эсингиви аяврэ эдыви хемурипчува нюканман, нунган долчатчэчан урувсипчут мэндудерилвэ илэлвэ, хата эчэн тэдедерэ сэвдепчу бинин манавчаван, Дубровский тыннэмэчинмэн.	Она чувствовала холодный поцелуй немилого супруга, она слышала веселые поздравления присутствующих и всё еще не могла поверить, что жизнь ее была навеки окована, что Дубровский не прилетел освободить ее.	1,00
Князь нунгантыкин алтатчэнэ гундечэн, нунган эчэн тылдерэ турэрвэн, нунгартын церковьдук ючэтын, Покровскоедук илэл, тулигидэвэ дялупкичал бичэтын.	Князь обратился к ней с ласковыми словами, она их не поняла; они вышли из церкви, на паперти толпились крестьяне из Покровского.	1,00
Хунат химамэмэт эктатви илэлвэ ичэтчэн, нян эчэгэчин мэдэдерэ очан.	Взор ее быстро их обежал и снова оказал прежнюю бесчувственность.	1,00
